"speciesKey"	"species"	"decimalLatitude"	"decimalLongitude"	"kingdom"	"phylum"	"class"
"72466"	1311477	"Vespa velutina"	42.506952	-6.555922	"Animalia"	"Arthropoda"	"Insecta"
"72485"	1311477	"Vespa velutina"	44.356232	4.465691	"Animalia"	"Arthropoda"	"Insecta"
"72493"	1311477	"Vespa velutina"	48.101831	-1.658438	"Animalia"	"Arthropoda"	"Insecta"
"72502"	1311477	"Vespa velutina"	43.329254	-1.926246	"Animalia"	"Arthropoda"	"Insecta"
"72507"	1311477	"Vespa velutina"	48.058333	5.570811	"Animalia"	"Arthropoda"	"Insecta"
"72531"	1311477	"Vespa velutina"	46.47907	1.450473	"Animalia"	"Arthropoda"	"Insecta"
"72535"	1311477	"Vespa velutina"	49.444366	3.785556	"Animalia"	"Arthropoda"	"Insecta"
"72552"	1311477	"Vespa velutina"	45.465317	6.259698	"Animalia"	"Arthropoda"	"Insecta"
"72553"	1311477	"Vespa velutina"	41.83397	3.083453	"Animalia"	"Arthropoda"	"Insecta"
"72565"	1311477	"Vespa velutina"	47.220586	0.496002	"Animalia"	"Arthropoda"	"Insecta"
"72572"	1311477	"Vespa velutina"	54.504297	-1.357438	"Animalia"	"Arthropoda"	"Insecta"
"72575"	1311477	"Vespa velutina"	46.117828	2.598135	"Animalia"	"Arthropoda"	"Insecta"
"72609"	1311477	"Vespa velutina"	42.64932	2.53347	"Animalia"	"Arthropoda"	"Insecta"
"72655"	1311477	"Vespa velutina"	40.415731	-7.890879	"Animalia"	"Arthropoda"	"Insecta"
"72685"	1311477	"Vespa velutina"	49.719892	9.269625	"Animalia"	"Arthropoda"	"Insecta"
"72718"	1311477	"Vespa velutina"	44.197769	3.193202	"Animalia"	"Arthropoda"	"Insecta"
"72782"	1311477	"Vespa velutina"	51.784414	6.089836	"Animalia"	"Arthropoda"	"Insecta"
"72806"	1311477	"Vespa velutina"	42.447539	-8.405425	"Animalia"	"Arthropoda"	"Insecta"
"72895"	1311477	"Vespa velutina"	47.03993	10.602094	"Animalia"	"Arthropoda"	"Insecta"
"72914"	1311477	"Vespa velutina"	44.47853	5.39522	"Animalia"	"Arthropoda"	"Insecta"
"72936"	1311477	"Vespa velutina"	42.469275	-2.451102	"Animalia"	"Arthropoda"	"Insecta"
"73010"	1311477	"Vespa velutina"	50.867295	1.695135	"Animalia"	"Arthropoda"	"Insecta"
"73019"	1311477	"Vespa velutina"	49.409519	0.15953	"Animalia"	"Arthropoda"	"Insecta"
"73103"	1311477	"Vespa velutina"	43.174771	6.533893	"Animalia"	"Arthropoda"	"Insecta"
"73113"	1311477	"Vespa velutina"	41.910003	0.936327	"Animalia"	"Arthropoda"	"Insecta"
"73289"	1311477	"Vespa velutina"	45.513828	4.883327	"Animalia"	"Arthropoda"	"Insecta"
